"Vaccine/Sample","Dose","Geography Type","Geography","Survey Year","Dimension Type","Dimension","Estimate (%)","95% CI (%)","Sample Size"
"HPV","Up-to-Date, Males and Females","States/Local Areas","North Dakota","2018-2022","Urbanicity","Living In a MSA Principal City","73.8","68.3 to 78.6","468"
"HPV","Up-to-Date, Males and Females","States/Local Areas","North Dakota","2018-2022","Urbanicity","Living In a Non-MSA","70.0","65.7 to 74.0","795"
"HPV","Up-to-Date, Males and Females","States/Local Areas","North Dakota","2018-2022","Urbanicity","Living In a MSA Non-Principal City","72.1","63.5 to 79.4","215"
"HPV","≥1 Dose, Males and Females","States/Local Areas","North Dakota","2018-2022","Urbanicity","Living In a MSA Principal City","87.3","83.0 to 90.6","468"
"HPV","≥1 Dose, Males and Females","States/Local Areas","North Dakota","2018-2022","Urbanicity","Living In a MSA Non-Principal City","81.7","73.9 to 87.6","215"
"HPV","≥1 Dose, Males and Females","States/Local Areas","North Dakota","2018-2022","Urbanicity","Living In a Non-MSA","79.5","75.6 to 82.9","795"
"HPV","Up-to-Date, Males and Females","States/Local Areas","North Dakota","2018-2022","Overall","Overall","71.6","68.5 to 74.5","1478"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Dakota","2018-2022","Urbanicity","Living In a Non-MSA","93.5","91.0 to 95.4","795"
"HPV","≥1 Dose, Males and Females","States/Local Areas","North Dakota","2018-2022","Overall","Overall","82.5","79.8 to 84.8","1478"
"HPV","Up-to-Date, Females","States/Local Areas","North Dakota","2023","Age","13-17 Years","79.7","69.8 to 87.0","121"
"HPV","≥1 Dose, Males","States/Local Areas","North Dakota","2023","Age","13-17 Years","81.2","71.8 to 88.0","141"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Dakota","2018-2022","Insurance Coverage","Uninsured","82.9","64.7 to 92.8","48"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Dakota","2018-2022","Insurance Coverage","Other","94.6","88.7 to 97.5","148"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Dakota","2018-2022","Insurance Coverage","Any Medicaid","90.5","85.2 to 94.1","267"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Dakota","2018-2022","Insurance Coverage","Private Insurance Only","94.6","92.5 to 96.1","1015"
"HPV","Up-to-Date, Males and Females","States/Local Areas","North Dakota","2018-2022","Insurance Coverage","Uninsured","62.8","44.8 to 77.7","48"
"HPV","Up-to-Date, Males and Females","States/Local Areas","North Dakota","2018-2022","Insurance Coverage","Other","67.2","57.1 to 76.0","148"
"HPV","Up-to-Date, Males and Females","States/Local Areas","North Dakota","2018-2022","Insurance Coverage","Any Medicaid","72.4","65.3 to 78.6","267"
"HPV","≥1 Dose, Males and Females","States/Local Areas","North Dakota","2018-2022","Insurance Coverage","Uninsured","73.1","55.4 to 85.6","48"
"≥1 Dose MenACWY","","States/Local Areas","North Dakota","2018-2022","Insurance Coverage","Uninsured","82.4","64.1 to 92.4","48"
"HPV","Up-to-Date, Males and Females","States/Local Areas","North Dakota","2018-2022","Insurance Coverage","Private Insurance Only","72.5","68.7 to 76.0","1015"
"HPV","≥1 Dose, Males and Females","States/Local Areas","North Dakota","2018-2022","Insurance Coverage","Other","76.8","67.2 to 84.3","148"
"≥1 Dose MenACWY","","States/Local Areas","North Dakota","2018-2022","Insurance Coverage","Other","95.9","91.8 to 98.0","148"
"HPV","≥1 Dose, Males and Females","States/Local Areas","North Dakota","2018-2022","Insurance Coverage","Any Medicaid","82.8","76.5 to 87.7","267"
"HPV","≥1 Dose, Males and Females","States/Local Areas","North Dakota","2018-2022","Insurance Coverage","Private Insurance Only","83.8","80.6 to 86.5","1015"
"≥1 Dose MenACWY","","States/Local Areas","North Dakota","2018-2022","Insurance Coverage","Private Insurance Only","95.6","93.7 to 97.0","1015"
"≥1 Dose MenACWY","","States/Local Areas","North Dakota","2018-2022","Insurance Coverage","Any Medicaid","93.4","88.9 to 96.1","267"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Dakota","2018-2022","Poverty","Below Poverty Level","92.3","82.5 to 96.8","109"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Dakota","2018-2022","Poverty","Living At or Above Poverty Level","93.4","91.6 to 94.9","1322"
"HPV","Up-to-Date, Males and Females","States/Local Areas","North Dakota","2018-2022","Poverty","Living At or Above Poverty Level","71.7","68.5 to 74.8","1322"
"HPV","Up-to-Date, Males and Females","States/Local Areas","North Dakota","2018-2022","Poverty","Below Poverty Level","67.6","55.5 to 77.8","109"
"≥1 Dose MenACWY","","States/Local Areas","North Dakota","2018-2022","Poverty","Living At or Above Poverty Level","94.6","92.9 to 95.9","1322"
"≥1 Dose MenACWY","","States/Local Areas","North Dakota","2018-2022","Poverty","Below Poverty Level","94.4","85.8 to 97.9","109"
"HPV","≥1 Dose, Males and Females","States/Local Areas","North Dakota","2018-2022","Poverty","Living At or Above Poverty Level","82.4","79.6 to 84.9","1322"
"HPV","≥1 Dose, Males and Females","States/Local Areas","North Dakota","2018-2022","Race and Ethnicity","Black, Non-Hispanic","93.9","84.7 to 97.7","40"
"HPV","≥1 Dose, Males and Females","States/Local Areas","North Dakota","2018-2022","Poverty","Below Poverty Level","81.1","70.0 to 88.8","109"
"HPV","≥1 Dose, Males and Females","States/Local Areas","North Dakota","2018-2022","Race and Ethnicity","White, Non-Hispanic","81.3","78.2 to 84.1","1184"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Dakota","2018-2022","Race and Ethnicity","Hispanic","89.8","77.9 to 95.7","67"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Dakota","2018-2022","Race and Ethnicity","Other or Multiple Races, Non-Hispanic","92.4","86.1 to 96.0","187"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Dakota","2018-2022","Race and Ethnicity","Black, Non-Hispanic","86.3","67.6 to 95.0","40"
"≥1 Dose MenACWY","","States/Local Areas","North Dakota","2018-2022","Race and Ethnicity","Hispanic","91.7","80.1 to 96.8","67"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Dakota","2018-2022","Race and Ethnicity","White, Non-Hispanic","94.2","92.4 to 95.7","1184"
"≥1 Dose MenACWY","","States/Local Areas","North Dakota","2018-2022","Race and Ethnicity","White, Non-Hispanic","94.8","92.9 to 96.1","1184"
"≥1 Dose MenACWY","","States/Local Areas","North Dakota","2018-2022","Race and Ethnicity","Black, Non-Hispanic","98.1","87.6 to 99.7","40"
"HPV","Up-to-Date, Males and Females","States/Local Areas","North Dakota","2018-2022","Race and Ethnicity","Hispanic","70.0","56.1 to 81.0","67"
"HPV","Up-to-Date, Males and Females","States/Local Areas","North Dakota","2018-2022","Race and Ethnicity","Other or Multiple Races, Non-Hispanic","73.6","64.7 to 80.8","187"
"HPV","Up-to-Date, Males and Females","States/Local Areas","North Dakota","2018-2022","Race and Ethnicity","Black, Non-Hispanic","71.7","53.3 to 84.9","40"
"HPV","≥1 Dose, Males and Females","States/Local Areas","North Dakota","2018-2022","Race and Ethnicity","Other or Multiple Races, Non-Hispanic","84.6","76.8 to 90.1","187"
"HPV","≥1 Dose, Males and Females","States/Local Areas","North Dakota","2018-2022","Race and Ethnicity","Hispanic","82.7","70.6 to 90.5","67"
"≥1 Dose MenACWY","","States/Local Areas","North Dakota","2018-2022","Race and Ethnicity","Other or Multiple Races, Non-Hispanic","94.9","89.7 to 97.5","187"
"HPV","Up-to-Date, Males and Females","States/Local Areas","North Dakota","2018-2022","Race and Ethnicity","White, Non-Hispanic","71.3","67.8 to 74.6","1184"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Dakota","2018-2022","Urbanicity","Living In a MSA Principal City","94.0","90.7 to 96.2","468"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Dakota","2018-2022","Urbanicity","Living In a MSA Non-Principal City","91.6","85.3 to 95.3","215"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Dakota","2013","Age","13-17 Years","95.0","91.2 to 97.2","344"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Dakota","2014","Age","13-17 Years","92.1","87.1 to 95.3","327"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Dakota","2015","Age","13-17 Years","88.9","83.5 to 92.7","323"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Dakota","2011","Age","13-17 Years","87.5","80.1 to 92.4","314"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Dakota","2023","Age","13-17 Years","90.1","84.4 to 93.9","262"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","North Dakota","2023","Age","13-17 Years","90.7","84.9 to 94.4","262"
"≥1 Dose MenACWY","","States/Local Areas","North Dakota","2023","Age","13-17 Years","93.1","88.0 to 96.1","262"
"HPV","≥1 Dose, Males and Females","States/Local Areas","North Dakota","2023","Age","13-17 Years","83.7","77.4 to 88.5","262"
"HPV","Up-to-Date, Males and Females","States/Local Areas","North Dakota","2023","Age","13-17 Years","78.3","71.7 to 83.8","262"
"≥2 Doses MMR","","States/Local Areas","North Dakota","2023","Age","13-17 Years","94.4","89.5 to 97.1","262"
"HPV","Up-to-Date, Males","States/Local Areas","North Dakota","2023","Age","13-17 Years","77.0","67.5 to 84.4","141"
"Varicella","≥2 Doses with no disease history","States/Local Areas","North Dakota","2023","Age","13-17 Years","93.7","88.9 to 96.5","245"
"Varicella","≥1 Dose with no disease history","States/Local Areas","North Dakota","2023","Age","13-17 Years","96.6","92.2 to 98.6","245"
"Varicella","History of disease","States/Local Areas","North Dakota","2023","Age","13-17 Years","9.5","5.3 to 16.3","262"
"≥3 Doses HepB","","States/Local Areas","North Dakota","2023","Age","13-17 Years","92.4","86.4 to 95.9","262"
"Varicella","≥2 Doses or history of disease","States/Local Areas","North Dakota","2023","Age","13-17 Years","94.3","89.9 to 96.8","262"
"≥2 Doses Hep A","","States/Local Areas","North Dakota","2023","Age","13-17 Years","94.0","89.0 to 96.8","262"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Dakota","2023","Age","13-15 Years","91.2","83.6 to 95.5","155"
"≥1 Dose MenACWY","","States/Local Areas","North Dakota","2023","Age","13-15 Years","93.7","86.6 to 97.2","155"
"HPV","Up-to-Date, Males and Females","States/Local Areas","North Dakota","2023","Age","13-15 Years","78.5","69.3 to 85.6","155"
"HPV","Up-to-Date, Males","States/Local Areas","North Dakota","2023","Age","13-15 Years","77.7","64.0 to 87.2","74"
"HPV","≥1 Dose, Females","States/Local Areas","North Dakota","2023","Age","13-17 Years","86.4","77.0 to 92.3","121"
"HPV","Up-to-Date, Females","States/Local Areas","North Dakota","2023","Age","13-15 Years","79.3","65.7 to 88.5","81"
"Varicella","≥2 Doses with no disease history","States/Local Areas","North Dakota","2023","Age","13-15 Years","96.2","90.6 to 98.5","145"
"HPV","Up-to-Date, Males and Females","States/Local Areas","North Dakota","2022","Age","13-17 Years","74.4","67.3 to 80.5","280"
"HPV","Up-to-Date, Males and Females","States/Local Areas","North Dakota","2021","Age","13-17 Years","72.2","63.7 to 79.3","191"
"HPV","Up-to-Date, Males and Females","States/Local Areas","North Dakota","2020","Age","13-17 Years","70.3","64.0 to 76.0","401"
"HPV","Up-to-Date, Males and Females","States/Local Areas","North Dakota","2019","Age","13-17 Years","76.9","70.9 to 82.0","319"
"HPV","Up-to-Date, Males and Females","States/Local Areas","North Dakota","2018","Age","13-17 Years","63.6","56.5 to 70.2","287"
"HPV","Up-to-Date, Males and Females","States/Local Areas","North Dakota","2016","Age","13-17 Years","52.7","46.0 to 59.3","293"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Dakota","2012","Age","13-17 Years","89.5","83.3 to 93.6","324"
"HPV","Up-to-Date, Males and Females","States/Local Areas","North Dakota","2017","Age","13-17 Years","57.8","51.9 to 63.5","379"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Dakota","2008","Age","13-17 Years","47.8","42.2 to 53.5","362"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Dakota","2022","Age","13-15 Years","94.0","87.8 to 97.2","177"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Dakota","2010","Age","13-17 Years","83.1","77.9 to 87.3","299"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Dakota","2009","Age","13-17 Years","71.6","65.4 to 77.1","272"
"≥2 Doses MMR","","States/Local Areas","North Dakota","2010","Age","13-17 Years","94.2","90.6 to 96.5","299"
"≥2 Doses MMR","","States/Local Areas","North Dakota","2011","Age","13-17 Years","90.7","83.6 to 94.9","314"
"≥2 Doses MMR","","States/Local Areas","North Dakota","2008","Age","13-17 Years","93.7","90.4 to 96.0","362"
"≥2 Doses MMR","","States/Local Areas","North Dakota","2009","Age","13-17 Years","96.0","92.6 to 97.9","272"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Dakota","2021","Age","13-15 Years","92.4","84.1 to 96.6","104"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Dakota","2020","Age","13-15 Years","87.5","80.0 to 92.5","256"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Dakota","2018","Age","13-15 Years","89.6","82.7 to 93.9","173"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Dakota","2019","Age","13-15 Years","96.7","93.3 to 98.4","192"
"HPV","≥2 Doses, Males","States/Local Areas","North Dakota","2015","Age","13-17 Years","53.1","44.0 to 61.9","164"
"Varicella","≥2 Doses or history of disease","States/Local Areas","North Dakota","2013","Age","13-17 Years","91.2","87.2 to 94.1","344"
"Varicella","≥2 Doses or history of disease","States/Local Areas","North Dakota","2014","Age","13-17 Years","89.5","84.1 to 93.2","327"
"Varicella","≥2 Doses or history of disease","States/Local Areas","North Dakota","2011","Age","13-17 Years","78.8","70.8 to 85.1","314"
"Varicella","≥2 Doses or history of disease","States/Local Areas","North Dakota","2012","Age","13-17 Years","81.3","74.6 to 86.6","324"
"Varicella","≥2 Doses or history of disease","States/Local Areas","North Dakota","2010","Age","13-17 Years","84.0","78.8 to 88.1","299"
"Varicella","≥2 Doses or history of disease","States/Local Areas","North Dakota","2009","Age","13-17 Years","82.3","76.8 to 86.7","272"
"Varicella","≥2 Doses or history of disease","States/Local Areas","North Dakota","2019","Age","13-17 Years","95.9","91.8 to 98.0","319"
"Varicella","≥2 Doses or history of disease","States/Local Areas","North Dakota","2022","Age","13-17 Years","97.1","93.3 to 98.7","280"
"Varicella","≥2 Doses with no disease history","States/Local Areas","North Dakota","2017","Age","13-15 Years","93.8","88.7 to 96.7","203"
"Varicella","≥2 Doses with no disease history","States/Local Areas","North Dakota","2015","Age","13-15 Years","92.7","84.3 to 96.8","151"
"Varicella","≥2 Doses with no disease history","States/Local Areas","North Dakota","2016","Age","13-15 Years","92.7","85.5 to 96.5","152"
"Varicella","≥2 Doses with no disease history","States/Local Areas","North Dakota","2020","Age","13-15 Years","96.5","91.5 to 98.6","233"
"Varicella","≥2 Doses with no disease history","States/Local Areas","North Dakota","2019","Age","13-15 Years","96.7","91.2 to 98.8","181"
"Varicella","≥2 Doses with no disease history","States/Local Areas","North Dakota","2008","Age","13-15 Years","36.8","26.1 to 48.9","80"
"Varicella","≥2 Doses with no disease history","States/Local Areas","North Dakota","2013","Age","13-15 Years","87.6","80.8 to 92.2","154"
"Varicella","≥2 Doses with no disease history","States/Local Areas","North Dakota","2011","Age","13-15 Years","62.5","47.8 to 75.2","107"
"Varicella","≥2 Doses with no disease history","States/Local Areas","North Dakota","2012","Age","13-15 Years","70.2","59.2 to 79.3","137"
"≥3 Doses HepB","","States/Local Areas","North Dakota","2010","Age","13-17 Years","96.6","94.2 to 98.0","299"
"Varicella","≥1 Dose with no disease history","States/Local Areas","North Dakota","2013","Age","13-17 Years","96.3","91.6 to 98.4","224"
"Varicella","≥2 Doses with no disease history","States/Local Areas","North Dakota","2014","Age","13-15 Years","86.3","77.4 to 92.1","154"
"Varicella","≥2 Doses with no disease history","States/Local Areas","North Dakota","2009","Age","13-15 Years","60.2","47.8 to 71.4","73"
"Varicella","≥2 Doses with no disease history","States/Local Areas","North Dakota","2010","Age","13-15 Years","69.9","58.0 to 79.5","83"
"Varicella","≥2 Doses with no disease history","States/Local Areas","North Dakota","2022","Age","13-15 Years","96.2","89.9 to 98.6","168"
"Varicella","≥2 Doses with no disease history","States/Local Areas","North Dakota","2021","Age","13-15 Years","94.8","88.7 to 97.7","95"
"Varicella","≥1 Dose with no disease history","States/Local Areas","North Dakota","2012","Age","13-17 Years","93.2","84.8 to 97.1","206"
"Varicella","≥1 Dose with no disease history","States/Local Areas","North Dakota","2015","Age","13-17 Years","96.8","92.8 to 98.6","240"
"Varicella","≥1 Dose with no disease history","States/Local Areas","North Dakota","2014","Age","13-17 Years","95.8","90.5 to 98.2","228"
"Varicella","≥1 Dose with no disease history","States/Local Areas","North Dakota","2016","Age","13-17 Years","94.9","90.6 to 97.3","237"
"HPV","≥1 Dose, Females","States/Local Areas","North Dakota","2011","Age","13-17 Years","51.2","38.8 to 63.5","142"
"HPV","≥1 Dose, Females","States/Local Areas","North Dakota","2010","Age","13-17 Years","41.7","33.7 to 50.2","159"
"HPV","≥1 Dose, Females","States/Local Areas","North Dakota","2013","Age","13-17 Years","57.5","48.0 to 66.6","168"
"HPV","≥1 Dose, Females","States/Local Areas","North Dakota","2012","Age","13-17 Years","60.3","50.2 to 69.5","151"
"Varicella","≥2 Doses with no disease history","States/Local Areas","North Dakota","2015","Age","13-17 Years","89.8","83.7 to 93.7","240"
"Varicella","≥2 Doses with no disease history","States/Local Areas","North Dakota","2014","Age","13-17 Years","84.7","77.4 to 90.0","228"
"Varicella","≥2 Doses with no disease history","States/Local Areas","North Dakota","2016","Age","13-17 Years","91.7","85.9 to 95.2","237"
"Varicella","≥2 Doses with no disease history","States/Local Areas","North Dakota","2017","Age","13-17 Years","92.4","88.5 to 95.1","321"
"≥3 Doses HepB","","States/Local Areas","North Dakota","2008","Age","13-17 Years","87.9","83.4 to 91.3","362"
"≥3 Doses HepB","","States/Local Areas","North Dakota","2009","Age","13-17 Years","89.8","85.4 to 93.0","272"
"≥3 Doses HepB","","States/Local Areas","North Dakota","2016","Age","13-17 Years","93.0","88.7 to 95.7","293"
"≥3 Doses HepB","","States/Local Areas","North Dakota","2015","Age","13-17 Years","91.7","87.1 to 94.8","323"
"≥3 Doses HepB","","States/Local Areas","North Dakota","2014","Age","13-17 Years","92.6","87.8 to 95.6","327"
"≥3 Doses HepB","","States/Local Areas","North Dakota","2013","Age","13-17 Years","94.9","91.6 to 97.0","344"
"≥3 Doses HepB","","States/Local Areas","North Dakota","2012","Age","13-17 Years","91.2","85.1 to 95.0","324"
"Varicella","≥2 Doses with no disease history","States/Local Areas","North Dakota","2011","Age","13-17 Years","61.4","49.7 to 71.9","166"
"Varicella","≥2 Doses with no disease history","States/Local Areas","North Dakota","2012","Age","13-17 Years","68.6","59.1 to 76.7","206"
"≥3 Doses HepB","","States/Local Areas","North Dakota","2011","Age","13-17 Years","91.7","84.6 to 95.7","314"
"HPV","≥1 Dose, Females","States/Local Areas","North Dakota","2008","Age","13-17 Years","28.7","21.9 to 36.7","177"
"HPV","≥1 Dose, Females","States/Local Areas","North Dakota","2009","Age","13-17 Years","45.1","36.0 to 54.6","133"
"Varicella","≥2 Doses with no disease history","States/Local Areas","North Dakota","2013","Age","13-17 Years","86.0","79.9 to 90.4","224"
"Varicella","≥1 Dose with no disease history","States/Local Areas","North Dakota","2022","Age","13-17 Years","98.3","95.4 to 99.4","264"
"Varicella","≥1 Dose with no disease history","States/Local Areas","North Dakota","2010","Age","13-17 Years","90.7","83.8 to 94.9","127"
"Varicella","≥1 Dose with no disease history","States/Local Areas","North Dakota","2011","Age","13-17 Years","83.9","72.0 to 91.3","166"
"Varicella","≥1 Dose with no disease history","States/Local Areas","North Dakota","2008","Age","13-17 Years","76.1","66.1 to 83.8","118"
"Varicella","≥1 Dose with no disease history","States/Local Areas","North Dakota","2009","Age","13-17 Years","88.9","80.8 to 93.8","107"
"Varicella","≥2 Doses with no disease history","States/Local Areas","North Dakota","2010","Age","13-17 Years","63.6","54.1 to 72.1","127"
"Varicella","≥2 Doses with no disease history","States/Local Areas","North Dakota","2009","Age","13-17 Years","54.3","44.0 to 64.2","107"
"Varicella","≥2 Doses with no disease history","States/Local Areas","North Dakota","2008","Age","13-17 Years","30.9","22.6 to 40.8","118"
"HPV","≥1 Dose, Males","States/Local Areas","North Dakota","2015","Age","13-17 Years","62.3","53.1 to 70.7","164"
"HPV","≥1 Dose, Males","States/Local Areas","North Dakota","2014","Age","13-17 Years","37.6","29.1 to 46.9","159"
"HPV","≥1 Dose, Males","States/Local Areas","North Dakota","2016","Age","13-17 Years","66.9","57.9 to 74.7","163"
"HPV","≥1 Dose, Males","States/Local Areas","North Dakota","2017","Age","13-17 Years","70.4","62.4 to 77.3","204"
"HPV","≥1 Dose, Males","States/Local Areas","North Dakota","2013","Age","13-17 Years","36.1","27.5 to 45.6","176"
"Varicella","≥2 Doses with no disease history","States/Local Areas","North Dakota","2022","Age","13-17 Years","96.9","93.0 to 98.7","264"
"HPV","≥1 Dose, Females","States/Local Areas","North Dakota","2020","Age","13-17 Years","82.8","74.9 to 88.6","198"
"HPV","≥1 Dose, Females","States/Local Areas","North Dakota","2019","Age","13-17 Years","88.1","82.1 to 92.3","152"
"HPV","≥1 Dose, Females","States/Local Areas","North Dakota","2022","Age","13-17 Years","81.3","71.0 to 88.5","128"
"HPV","≥1 Dose, Females","States/Local Areas","North Dakota","2021","Age","13-17 Years","80.1","68.0 to 88.3","87"
